,fips,NatWalkInd,TotPop,ResidentialDensity,PopulationDensity,EmploymentDensity,PctLowWage,County,State
1664,36113,7.166666667,64480,0.280787188,0.53358181,0.091981364,0.25755256968085105,Warren,NY
1665,36115,4.833333333,61828,0.0587898035,0.116280595,0.015444678,0.2456451885,Washington,NY
1666,36117,5.25,90856,0.154583651,0.35773230349999996,0.0476837805,0.2316584321612903,Wayne,NY
1667,36119,13.5,968815,4.008218894,10.720093655,2.026405458,0.18370704412784092,Westchester,NY
1668,36121,4.583333333500001,40565,0.0379997215,0.08279911649999999,0.0206476815,0.23479410831818182,Wyoming,NY
1669,36123,4.666666667,25009,0.06779844,0.100707382,0.028821804,0.27271234709523806,Yates,NY
1670,37001,7.166666667,160576,0.833941229,1.890152091,0.567082154,0.2485931774778761,Alamance,NC
1671,37003,4.666666666499999,37119,0.121160467,0.3085820965,0.065659492,0.2277363690416667,Alexander,NC
1672,37005,4.833333333,10973,0.067651322,0.080388146,0.016928585,0.2780312003636363,Alleghany,NC
1673,37007,4.5,25306,0.038837641,0.10036451,0.0180104,0.2802072657894737,Anson,NC
1674,37009,4.0,26786,0.0714182785,0.11334973100000001,0.0057106435,0.2643186715909091,Ashe,NC
1675,37011,6.916666666499999,17501,0.0950293665,0.145884194,0.035135012,0.289325906375,Avery,NC
1676,37013,5.666666667,47243,0.113025798,0.245638125,0.034859244,0.2758775288,Beaufort,NC
1677,37015,4.083333333500001,19644,0.0251839905,0.043838121,0.006030622,0.2867613897,Bertie,NC
1678,37017,3.5,33778,0.037426741,0.078252622,0.006262862,0.26539426974193553,Bladen,NC
1679,37019,5.916666666499999,126860,0.6707846985,0.7360437040000001,0.10799542300000001,0.29117055128888886,Brunswick,NC
1680,37021,7.833333333,254474,0.6213996555,1.3888759165,0.3749881855,0.2573373627922078,Buncombe,NC
1681,37023,4.666666667,89712,0.227181113,0.5436172610000001,0.070018953,0.25682611008620687,Burke,NC
1682,37025,8.4166666665,201448,0.7817406545,2.006543233,0.4324137735,0.2359749519361702,Cabarrus,NC
1683,37027,5.5,81779,0.30751861,0.719482511,0.0990818385,0.24298143461290322,Caldwell,NC
1684,37029,3.5,10447,0.0366424315,0.095262957,0.004663937,0.2008871165,Camden,NC
1685,37031,6.333333333500001,68920,0.905194139,1.3058600165,0.23412045850000002,0.28566367475000004,Carteret,NC
1686,37033,3.4166666665000003,22746,0.038695074499999996,0.0863050195,0.0050107335,0.2552850752777778,Caswell,NC
1687,37035,6.0,156729,0.332201141,0.790989668,0.255653889,0.22944886329473685,Catawba,NC
1688,37037,5.0,69791,0.061955237,0.155520288,0.043392824,0.21904826637142857,Chatham,NC
1689,37039,5.166666667,27668,0.092074412,0.146570487,0.024915176,0.26936845985714286,Cherokee,NC
1690,37041,5.583333333500001,14205,0.059952343,0.1504400205,0.025135861,0.23828528599999999,Chowan,NC
1691,37043,4.5,10813,0.105887464,0.129785397,0.014270126,0.26327026442857143,Clay,NC
1692,37045,5.5,97159,0.18976322,0.499435154,0.116946878,0.27116418025974026,Cleveland,NC
1693,37047,4.333333333,56293,0.05595633,0.114542162,0.010714024,0.2988317177234043,Columbus,NC
1694,37049,6.583333333500001,103082,0.6552731190000001,1.3143526835000001,0.21847067650000002,0.295619436078125,Craven,NC
1695,37051,6.666666667,332106,1.402493517,2.891962205,0.309604995,0.29570874422564103,Cumberland,NC
1696,37053,5.833333333,25796,0.094145822,0.188947142,0.037899425,0.214180714,Currituck,NC
1697,37055,7.0,35741,1.3236474915,1.1217735125,0.357115367,0.195952910875,Dare,NC
1698,37057,5.5,164664,0.2800027985,0.61947375,0.1093203555,0.23034147846296296,Davidson,NC
1699,37059,5.0,41991,0.124073808,0.244575433,0.043607601,0.23421497704,Davie,NC
1700,37061,4.0,59062,0.050372318,0.116162864,0.0145684665,0.2670498585,Duplin,NC
1701,37063,11.16666667,306457,1.613869462,3.867693573,0.539418044,0.23698999607843138,Durham,NC
1702,37065,6.666666667,53332,0.34059058,0.741960882,0.100348149,0.29449955123404253,Edgecombe,NC
1703,37067,6.5,371573,1.089939285,2.484465185,0.420545475,0.2569312408312757,Forsyth,NC
1704,37069,5.083333333500001,64902,0.08692780850000001,0.20097925900000002,0.0182796325,0.24558365796666667,Franklin,NC
1705,37071,6.5,216585,0.726735514,1.707480415,0.27293235,0.24228618004624278,Gaston,NC
1706,37073,4.0,11563,0.033294827,0.0732679315,0.007170193,0.2408616672,Gates,NC
